,user_id,rating,timestamp,age,gender,occupation,zip_code,movie_id,movie_title,release_date,IMDb_URL,movie_type,Unnamed: 12
0,196,3,04-12-97 15:55,49,M,litteraire,55105,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
1,305,5,01-02-98 04:37,23,M,science,94086,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
2,6,4,28-12-97 00:16,42,M,autre,98101,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
3,234,4,27-03-98 21:14,60,M,autre,94702,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
4,63,3,01-10-97 23:06,31,M,commerce,75240,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
5,181,1,08-11-97 04:03,26,M,autre,21218,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
6,201,4,06-01-98 18:16,27,M,litteraire,E2A4H,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
7,249,5,15-11-97 05:23,25,M,education,84103,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
8,13,2,07-12-97 17:19,47,M,education,29206,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
9,279,3,25-10-97 05:17,33,M,science,85251,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
10,145,5,26-09-97 10:29,31,M,audiovisuel,V3N4P,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
11,90,4,31-03-98 22:11,60,M,education,78155,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
12,271,4,26-01-98 19:54,51,M,science,22932,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
13,18,5,21-11-97 16:21,35,F,autre,37212,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
14,1,5,13-03-98 01:13,24,M,autre,85711,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
15,207,4,25-03-98 02:43,39,M,commerce,92037,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
16,14,4,16-10-97 01:16,45,M,science,55106,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
17,113,2,24-09-97 04:38,47,M,autre,95032,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
18,123,5,17-11-97 23:24,48,F,audiovisuel,20008,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
19,296,4,07-01-98 18:00,43,F,litteraire,16803,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
20,154,3,10-11-97 05:03,25,M,education,53703,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
21,270,5,15-10-97 22:15,18,F,education,63119,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
22,240,5,26-01-98 00:48,23,F,education,20784,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
23,144,4,21-02-98 23:24,53,M,science,20910,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
24,21,3,22-09-97 18:06,26,M,litteraire,30068,242,Kolya (1996),24-janv-97,http://us.imdb.com/M/title-exact?Kolya%20(1996),Comedy,
